,Date,Inflation
242,2010-03-01,0.41
243,2010-04-01,0.17
244,2010-05-01,0.08
245,2010-06-01,-0.1
246,2010-07-01,0.02
247,2010-08-01,0.14
248,2010-09-01,0.06
249,2010-10-01,0.12
250,2010-11-01,0.04
251,2010-12-01,0.17
252,2011-01-01,0.48
253,2011-02-01,0.49
254,2011-03-01,0.98
255,2011-04-01,0.64
256,2011-05-01,0.47
257,2011-06-01,-0.11
258,2011-07-01,0.09
259,2011-08-01,0.28
260,2011-09-01,0.15
261,2011-10-01,-0.21
262,2011-11-01,-0.08
263,2011-12-01,-0.25
264,2012-01-01,0.44
265,2012-02-01,0.44
266,2012-03-01,0.76
267,2012-04-01,0.3
268,2012-05-01,-0.12
269,2012-06-01,-0.15
270,2012-07-01,-0.16
271,2012-08-01,0.56
272,2012-09-01,0.45
273,2012-10-01,-0.04
274,2012-11-01,-0.47
275,2012-12-01,-0.27
276,2013-01-01,0.3
277,2013-02-01,0.82
278,2013-03-01,0.26
279,2013-04-01,-0.1
280,2013-05-01,0.18
281,2013-06-01,0.24
282,2013-07-01,0.04
283,2013-08-01,0.12
284,2013-09-01,0.12
285,2013-10-01,-0.26
286,2013-11-01,-0.2
287,2013-12-01,-0.01
288,2014-01-01,0.37
289,2014-02-01,0.37
290,2014-03-01,0.64
291,2014-04-01,0.33
292,2014-05-01,0.35
293,2014-06-01,0.19
294,2014-07-01,-0.04
295,2014-08-01,-0.17
296,2014-09-01,0.08
297,2014-10-01,-0.25
298,2014-11-01,-0.54
299,2014-12-01,-0.57
300,2015-01-01,-0.47
301,2015-02-01,0.43
302,2015-03-01,0.6
303,2015-04-01,0.2
304,2015-05-01,0.51
305,2015-06-01,0.35
306,2015-07-01,0.01
307,2015-08-01,-0.14
308,2015-09-01,-0.16
309,2015-10-01,-0.04
310,2015-11-01,-0.21
311,2015-12-01,-0.34
312,2016-01-01,0.17
313,2016-02-01,0.08
314,2016-03-01,0.43
315,2016-04-01,0.47
316,2016-05-01,0.41
317,2016-06-01,0.33
318,2016-07-01,-0.16
319,2016-08-01,0.09
320,2016-09-01,0.24
321,2016-10-01,0.12
322,2016-11-01,-0.16
323,2016-12-01,0.03
324,2017-01-01,0.58
325,2017-02-01,0.31
326,2017-03-01,0.08
327,2017-04-01,0.3
328,2017-05-01,0.09
329,2017-06-01,0.09
330,2017-07-01,-0.07
331,2017-08-01,0.3
332,2017-09-01,0.53
333,2017-10-01,-0.06
334,2017-11-01,0.0
335,2017-12-01,-0.06
336,2018-01-01,0.54
337,2018-02-01,0.45
338,2018-03-01,0.23
339,2018-04-01,0.4
340,2018-05-01,0.42
341,2018-06-01,0.16
342,2018-07-01,0.01
343,2018-08-01,0.06
344,2018-09-01,0.12
345,2018-10-01,0.18
346,2018-11-01,-0.33
347,2018-12-01,-0.32
348,2019-01-01,0.19
349,2019-02-01,0.42
350,2019-03-01,0.56
351,2019-04-01,0.53
352,2019-05-01,0.21
353,2019-06-01,0.02
354,2019-07-01,0.17
355,2019-08-01,-0.01
356,2019-09-01,0.08
357,2019-10-01,0.23
358,2019-11-01,-0.05
359,2019-12-01,-0.09
360,2020-01-01,0.39
361,2020-02-01,0.27
362,2020-03-01,-0.22
363,2020-04-01,-0.67
364,2020-05-01,0.0
365,2020-06-01,0.55
366,2020-07-01,0.51
367,2020-08-01,0.32
368,2020-09-01,0.14
369,2020-10-01,0.04
370,2020-11-01,-0.06
371,2020-12-01,0.09
372,2021-01-01,0.43
373,2021-02-01,0.55
374,2021-03-01,0.71
375,2021-04-01,0.82
376,2021-05-01,0.8
377,2021-06-01,0.93
378,2021-07-01,0.48
379,2021-08-01,0.21
380,2021-09-01,0.27
381,2021-10-01,
382,2021-11-01,
383,2021-12-01,
